timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2020-01-01T00:00:00.000Z";"2020-01-01T23:59:59.999Z";"2020-01-01T17:20:01.000Z";"2020-01-01T00:59:00.000Z";"2781";129.630655703;132.835356857;129.19828458;130.802008077;7935230330.48;14271059633.0755;109104285.5;"2020-01-01T23:59:59.999Z"
"2020-01-02T00:00:00.000Z";"2020-01-02T23:59:59.999Z";"2020-01-02T00:00:01.000Z";"2020-01-02T23:02:02.000Z";"2781";130.820037712;130.820037712;126.954910696;127.410182379;8032709256.08;13902505466.2437;109116125.62;"2020-01-02T23:59:59.999Z"
"2020-01-03T00:00:00.000Z";"2020-01-03T23:59:59.999Z";"2020-01-03T23:33:01.000Z";"2020-01-03T02:08:02.000Z";"2781";127.411261334;134.554013719;126.490019807;134.171712485;10476845358.08;14642130119.6642;109129784.87;"2020-01-03T23:59:59.999Z"
"2020-01-04T00:00:00.000Z";"2020-01-04T23:59:59.999Z";"2020-01-04T18:43:01.000Z";"2020-01-04T02:42:01.000Z";"2781";134.168523193;136.052714158;133.040551066;135.069371268;7430904515.09;14741946278.126;109143517.44;"2020-01-04T23:59:59.999Z"
"2020-01-05T00:00:00.000Z";"2020-01-05T23:59:59.999Z";"2020-01-05T19:03:00.000Z";"2020-01-05T00:01:00.000Z";"2781";135.072093991;139.410202121;135.045629195;136.276776707;7526675353.24;14875569429.664;109157039;"2020-01-05T23:59:59.999Z"
"2020-01-06T00:00:00.000Z";"2020-01-06T23:59:59.999Z";"2020-01-06T23:53:01.000Z";"2020-01-06T00:35:03.000Z";"2781";136.305547376;144.328182399;136.079631955;144.30415371;9093747120.54;15753803339.942;109170823.81;"2020-01-06T23:59:59.999Z"
"2020-01-07T00:00:00.000Z";"2020-01-07T23:59:59.999Z";"2020-01-07T21:03:01.000Z";"2020-01-07T16:04:01.000Z";"2781";144.311990223;145.001774824;140.4888772;143.543998337;9257954671.54;15672773110.1732;109184454.19;"2020-01-07T23:59:59.999Z"
"2020-01-08T00:00:00.000Z";"2020-01-08T23:59:59.999Z";"2020-01-08T01:04:01.000Z";"2020-01-08T20:46:01.000Z";"2781";143.487828532;146.828000336;138.268202336;141.258134415;9387194956.59;15425115411.4042;109198068.31;"2020-01-08T23:59:59.999Z"
"2020-01-09T00:00:00.000Z";"2020-01-09T23:59:59.999Z";"2020-01-09T01:39:01.000Z";"2020-01-09T16:40:04.000Z";"2781";141.155776805;141.393989012;136.236404404;138.979196656;7697325347.9;15178151516.9684;109211679.75;"2020-01-09T23:59:59.999Z"
"2020-01-10T00:00:00.000Z";"2020-01-10T23:59:59.999Z";"2020-01-10T18:25:04.000Z";"2020-01-10T09:49:01.000Z";"2781";138.967043356;144.167321507;135.5203966;143.963781218;9084816202.77;15724494552.6748;109225351.12;"2020-01-10T23:59:59.999Z"
"2020-01-11T00:00:00.000Z";"2020-01-11T23:59:59.999Z";"2020-01-11T17:22:00.000Z";"2020-01-11T06:22:01.000Z";"2781";143.409108237;146.480905038;142.207954733;142.927114494;9332208590.19;15613213639.7289;109238990.06;"2020-01-11T23:59:59.999Z"
"2020-01-12T00:00:00.000Z";"2020-01-12T23:59:59.999Z";"2020-01-12T19:47:00.000Z";"2020-01-12T00:06:01.000Z";"2781";143.032542583;146.145866271;142.70764568;145.873931189;8528167453.25;15937115426.2969;109252662.87;"2020-01-12T23:59:59.999Z"
"2020-01-13T00:00:00.000Z";"2020-01-13T23:59:59.999Z";"2020-01-13T00:04:02.000Z";"2020-01-13T14:35:01.000Z";"2781";146.220132646;146.791233735;142.907137969;144.226591141;8378529469.8;15759102081.3277;109266273;"2020-01-13T23:59:59.999Z"
