SAR;EP;alpha;isReversal;kind
376.647;383.318;0.04;false;none
376.466;367.601;0.02;true;peak
376.949;400.627;0.02;true;trough
378.677;420.142;0.04;false;none
380.336;420.142;0.04;false;none
381.928;420.142;0.04;false;none
383.457;420.142;0.04;false;none
384.924;420.142;0.04;false;none
386.333;420.142;0.04;false;none
387.685;420.142;0.04;false;none
387.301;381.289;0.06;false;none
386.324;375.092;0.08;false;none
386.993;393.01;0.1;false;none
387.195;397.116;0.02;true;trough
387.071;381.018;0.02;true;peak
387.12;389.515;0.02;true;trough
387.942;407.666;0.04;false;none
389.717;417.526;0.06;false;none
395.036;456.201;0.08;false;none
402.1;465.675;0.1;false;none
408.458;465.675;0.1;false;none
414.18;465.675;0.1;false;none
419.329;465.675;0.1;false;none
425.839;473.579;0.12;false;none
431.568;473.579;0.12;false;none
437.679;475.217;0.14;false;none
442.934;475.217;0.14;false;none
447.454;475.217;0.14;false;none
451.341;475.217;0.14;false;none
456.284;482.232;0.16;false;none
462.713;492;0.18;false;none
467.985;492;0.18;false;none
477.11;513.61;0.2;false;none
491.733;550.227;0.2;false;none
509.261;579.372;0.2;false;none
529.406;609.988;0.2;false;none
547.759;621.173;0.2;false;none
562.442;621.173;0.2;false;none
560.903;485.497;0.02;true;peak
559.395;485.497;0.02;false;none
557.917;485.497;0.02;false;none
558.291;576.602;0.02;true;trough
560.569;615.241;0.04;false;none
565.044;635.161;0.06;false;none
569.251;635.161;0.06;false;none
573.206;635.161;0.06;false;none
572.892;569.283;0.08;false;none
573.366;596.595;0.02;true;trough
574.703;606.792;0.04;false;none
575.987;606.792;0.04;false;none
575.517;552.469;0.02;true;peak
573.816;532.998;0.04;false;none
572.183;532.998;0.04;false;none
570.616;532.998;0.04;false;none
569.111;532.998;0.04;false;none
569.604;593.781;0.02;true;trough
570.088;593.781;0.02;false;none
571.134;596.248;0.04;false;none
575.064;636.64;0.06;false;none
582.966;673.834;0.08;false;none
590.235;673.834;0.08;false;none
596.923;673.834;0.08;false;none
603.076;673.834;0.08;false;none
608.737;673.834;0.08;false;none
613.945;673.834;0.08;false;none
612.873;560.364;0.02;true;peak
611.823;560.364;0.02;false;none
612.248;633.061;0.02;true;trough
613.787;650.721;0.04;false;none
619.643;711.394;0.06;false;none
629.742;745.878;0.08;false;none
639.033;745.878;0.08;false;none
650.56;754.303;0.1;false;none
660.934;754.303;0.1;false;none
